latitude,longitude,frequency,logFreq
42.357,-71.0974,2519,3.401228167
42.3485,-71.1149,2518,3.401055726
42.3565,-71.1034,2515,3.400537989
42.353,-71.0854,2513,3.400192489
42.357,-71.1014,2509,3.399500661
42.357,-71.0969,2508,3.399327532
42.35,-71.1154,2505,3.39880773
42.3455,-71.1109,2505,3.39880773
42.346,-71.1124,2502,3.398287305
42.3515,-71.1154,2501,3.398113692
42.357,-71.0964,2498,3.397592434
42.357,-71.1019,2490,3.396199347
42.347,-71.1139,2489,3.396024897
42.3565,-71.1039,2489,3.396024897
42.3545,-71.0859,2480,3.394451681
42.3535,-71.0854,2478,3.394101302
42.3475,-71.1144,2477,3.393926007
42.3465,-71.1134,2471,3.392872745
42.3495,-71.1154,2470,3.392696953
42.3455,-71.1114,2470,3.392696953
42.357,-71.1024,2469,3.39252109
42.3565,-71.1044,2467,3.392169149
42.352,-71.1154,2465,3.391816924
42.357,-71.1029,2446,3.388456453
42.326,-71.0999,2444,3.388101202
42.3575,-71.0994,2442,3.38774566
42.3575,-71.0989,2441,3.387567779
42.3575,-71.0999,2439,3.3872118
42.3575,-71.0984,2438,3.387033701
42.354,-71.0854,2438,3.387033701
42.327,-71.0984,2435,3.386498966
42.3575,-71.1004,2433,3.386142109
42.3575,-71.0979,2433,3.386142109
42.348,-71.1149,2432,3.385963571
42.346,-71.1129,2427,3.385069776
42.3575,-71.0974,2426,3.384890797
42.357,-71.1034,2424,3.384532615
42.3575,-71.1009,2423,3.384353414
42.3455,-71.1119,2423,3.384353414
42.349,-71.1154,2420,3.383815366
42.3575,-71.0969,2418,3.383456297
42.3575,-71.0964,2412,3.382377303
42.353,-71.0849,2410,3.382017043
42.3575,-71.1014,2409,3.3818368
42.357,-71.1039,2403,3.380753771
42.327,-71.0979,2398,3.379849179
42.3575,-71.1019,2394,3.379124146
42.3545,-71.0854,2394,3.379124146
42.3535,-71.0849,2384,3.377306251
42.357,-71.1044,2384,3.377306251
42.3575,-71.1024,2377,3.376029182
42.345,-71.1109,2376,3.375846436
42.347,-71.1144,2371,3.374931554
42.3465,-71.1139,2371,3.374931554
42.327,-71.0989,2369,3.374565061
42.3455,-71.1124,2368,3.374381698
42.3485,-71.1154,2361,3.373095987
42.3575,-71.1029,2358,3.372543801
42.354,-71.0849,2354,3.371806459
42.358,-71.0994,2349,3.370883017
42.358,-71.0989,2349,3.370883017
42.358,-71.0984,2348,3.370698093
42.351,-71.1159,2348,3.370698093
42.3505,-71.1159,2348,3.370698093
42.346,-71.1134,2347,3.37051309
42.358,-71.0979,2345,3.370142847
42.3475,-71.1149,2345,3.370142847
42.358,-71.0999,2345,3.370142847
42.345,-71.1114,2343,3.369772289
42.3575,-71.1034,2340,3.369215857
42.358,-71.0974,2340,3.369215857
42.358,-71.1004,2339,3.369030222
42.352,-71.0859,2338,3.368844507
42.35,-71.0859,2338,3.368844507
42.349,-71.0889,2338,3.368844507
42.3485,-71.0919,2338,3.368844507
42.3475,-71.0924,2338,3.368844507
42.3495,-71.0904,2338,3.368844507
42.3505,-71.0859,2338,3.368844507
42.3485,-71.0894,2338,3.368844507
42.3485,-71.0904,2338,3.368844507
42.3515,-71.0849,2338,3.368844507
42.3475,-71.0914,2338,3.368844507
42.3495,-71.0909,2338,3.368844507
42.3475,-71.0919,2338,3.368844507
42.35,-71.0874,2338,3.368844507
42.35,-71.0864,2338,3.368844507
42.352,-71.0864,2338,3.368844507
42.351,-71.0879,2338,3.368844507
42.349,-71.0894,2338,3.368844507
42.3505,-71.0894,2338,3.368844507
42.351,-71.0844,2338,3.368844507
42.349,-71.0884,2338,3.368844507
42.351,-71.0864,2338,3.368844507
42.3495,-71.0914,2338,3.368844507
42.3515,-71.0869,2338,3.368844507
42.349,-71.0924,2338,3.368844507
42.3495,-71.0894,2338,3.368844507
42.348,-71.0904,2338,3.368844507
42.35,-71.0899,2338,3.368844507
42.349,-71.0914,2338,3.368844507
42.3505,-71.0864,2338,3.368844507
42.352,-71.0854,2338,3.368844507
42.3505,-71.0854,2338,3.368844507
42.35,-71.0889,2338,3.368844507
42.348,-71.0919,2338,3.368844507
42.351,-71.0859,2338,3.368844507
42.3485,-71.0924,2338,3.368844507
42.347,-71.0924,2338,3.368844507
42.3495,-71.0884,2338,3.368844507
42.348,-71.0914,2338,3.368844507
42.3495,-71.0874,2338,3.368844507
42.3505,-71.0869,2338,3.368844507
42.35,-71.0894,2338,3.368844507
42.352,-71.0844,2338,3.368844507
42.351,-71.0854,2338,3.368844507
42.3515,-71.0864,2338,3.368844507
42.3485,-71.0914,2338,3.368844507
42.3505,-71.0889,2338,3.368844507
42.349,-71.0899,2338,3.368844507
42.3515,-71.0874,2338,3.368844507
42.35,-71.0869,2338,3.368844507
42.349,-71.0909,2338,3.368844507
42.351,-71.0874,2338,3.368844507
42.3495,-71.0889,2338,3.368844507
42.35,-71.0904,2338,3.368844507
42.3515,-71.0854,2338,3.368844507
42.3495,-71.0869,2338,3.368844507
42.3515,-71.0844,2338,3.368844507
42.3515,-71.0859,2338,3.368844507
42.3505,-71.0884,2338,3.368844507
42.3485,-71.0909,2338,3.368844507
42.3525,-71.0849,2338,3.368844507
42.3505,-71.0849,2338,3.368844507
42.3475,-71.0909,2338,3.368844507
42.351,-71.0849,2338,3.368844507
